domain, submitted, correct
uocoqgiusyeciouaimcauykqswsymo,benign,dga
409485,dga,benign
m8sdetc0u81lgdcpshoxsvy,benign,dga
cyneugril,benign,dga
eikmcosam,benign,dga
mamysymikazadoci,benign,dga
phunuthudo,dga,benign
egrsdno,dga,benign
nfwkowelcamino,benign,dga
npowancorml,benign,dga
293054,dga,benign
skeyggikcecycsgcqwksigkswo,benign,dga
nwdzmqgfajecupinz,benign,dga
fogykuhovaxavaniholijiq,benign,dga
ynwambrkriny,benign,dga
355986,dga,benign
kepyponepadolecepikubyz,benign,dga
galosibapedos,benign,dga
skcqqkuiiymgmouugeswmowogkeseg,benign,dga
mymycuyicusgqmqigyqqcgosyyi,benign,dga
owhymachuslazaroqok,benign,dga
ywgokoiociykacgm,benign,dga
jtvqestnessbiophysicalohax,benign,dga
1mo9uownkn5czcnlh4u1o8jxgs,benign,dga
eezcareisbad,benign,dga
375060,dga,benign
ppvvebrags,benign,dga
uogasgakukammccsskiacioswgusu,benign,dga
nayzheh,dga,benign
kuqgaawaqsqqmccsuykmuuwqgkakyeg,benign,dga
iqouomcmyqeckqsuwueomweeyaqweys,benign,dga
wolf60ffm,dga,benign
evadiidop,benign,dga
168609,dga,benign
gaqozahopecas,benign,dga
fcceda2d2a1808357272dbef09faf97d60,benign,dga
111450,dga,benign
332446,dga,benign
tldaquerque,benign,dga
kslmhkehercyok,benign,dga
hhoeporsche,benign,dga
gmeaiwkaeccuyascosyokcokkwuoew,benign,dga
pgnxvzbtuywqywnfdzfgamxqs,benign,dga
ymbsowelcamino,benign,dga
pumugugene,benign,dga
cyvnmonkeys,benign,dga
abw03xu6at1vud5nabg4wt1,benign,dga
puzajopikapuzihoj,benign,dga
kitnect,benign,dga
89597,dga,benign
gymodhockey,benign,dga
ckisrancisco,benign,dga
258639,dga,benign
mymewasm,benign,dga
kuuaacowgwqqsquesouewewqogcck,benign,dga
365bongda,dga,benign
425480,dga,benign
ejjkmouvokoad,benign,dga
ndokstring,benign,dga
207256,dga,benign
dpnmareisbad,benign,dga
ocgygeumgeoyesycmgsciieyewasgyc,benign,dga
gyiomachuslazaroqok,benign,dga
myeyuwaskkqqeyusiwuegiqwysiye,benign,dga
eatpizzaq,dga,benign
kuwmaamcwucyciquecy,benign,dga
292263,dga,benign
qgnysagabardinedazyx,benign,dga
arxnejast,benign,dga
wclringlane,benign,dga
qgcilane,benign,dga
1hedfs21cdqfcr1q3m26o1vgk0el,benign,dga
pkclick4u,dga,benign
postmediavfx,dga,benign
aagiuayykiueackciiuiec,benign,dga
oscgacivic,benign,dga
qqebican765,benign,dga
gozoamentalistfanchonut,benign,dga
wsecqecmaysggigakccie,benign,dga
skiiiekuuyaoeiyeys,benign,dga
uosuueaycamy,benign,dga
sjakk,dga,benign
wqvlepictom,benign,dga
hacopoz,benign,dga
mlazyc,dga,benign
o0uhsdsneja2stufgtm,benign,dga
237208,dga,benign
142176,dga,benign
pqacrang,benign,dga
vlhsengerjet,benign,dga
njtement,benign,dga
odkbgvs2qjy6mjehinmnwty,benign,dga
qamsacivic,benign,dga
1vq6hbiwywo9dimd4ie10hignl,benign,dga
pmaqma1i3bsr11auta761c94v4c,benign,dga
galorubapetos,benign,dga
eco4649,dga,benign
aaimuowmaqowiuyekqaco,benign,dga
dseafsfen,benign,dga
triumfo,dga,benign
cxdn9217jotdy132avsn1vlxlax,benign,dga
370031,dga,benign
gburgpsf,dga,benign
364616,dga,benign
gjm8gtm4gh70adonu0y,benign,dga
10ksa,dga,benign
434423,dga,benign
